"po_item_id","purchase_order_id","product_id","quantity","unit_cost","total_cost","expected_delivery_date"
1,1,6,26,168.89,4391.25,"2022-02-20"
2,1,2,104,483.67,50302.01,"2022-02-20"
3,1,12,163,820.37,133720.93,"2022-02-20"
4,1,12,116,718.02,83290.09,"2022-02-20"
5,2,3,106,483.2,51218.69,"2022-02-01"
6,3,6,41,160.39,6576.1,"2022-02-06"
7,3,6,22,161.65,3556.25,"2022-02-06"
8,3,10,32,50.29,1609.37,"2022-02-06"
9,3,1,213,397.01,84563.57,"2022-02-06"
10,3,11,125,427.69,53461.53,"2022-02-06"
11,4,2,84,550.55,46245.82,"2022-02-02"
12,4,6,40,178.56,7142.48,"2022-02-02"
13,4,6,28,168.75,4724.87,"2022-02-02"
14,4,9,214,270.84,57960.17,"2022-02-02"
15,4,12,91,815.71,74229.93,"2022-02-02"
16,4,5,224,135.44,30338.51,"2022-02-02"
17,4,11,96,418.49,40175.18,"2022-02-02"
18,4,12,176,766.44,134893.44,"2022-02-02"
19,5,4,150,438.15,65723.07,"2022-02-10"
20,5,8,127,51.71,6566.98,"2022-02-10"
21,5,5,215,151.93,32666.01,"2022-02-10"
22,5,7,177,150.37,26615.13,"2022-02-10"
23,6,8,164,57.11,9365.68,"2022-01-26"
24,6,1,236,367.12,86640.88,"2022-01-26"
25,6,8,201,58.27,11712.82,"2022-01-26"
26,6,10,24,58.49,1403.77,"2022-01-26"
27,6,6,43,172.29,7408.33,"2022-01-26"
28,6,1,130,384.86,50031.56,"2022-01-26"
29,7,3,167,453.99,75816.96,"2022-01-27"
30,7,1,92,369.6,34003.29,"2022-01-27"
31,7,11,244,425.55,103833.34,"2022-01-27"
32,7,8,237,57.39,13602.59,"2022-01-27"
33,8,10,53,49.9,2644.8,"2022-02-08"
34,8,1,182,384.05,69897.67,"2022-02-08"
35,8,4,181,489.78,88649.33,"2022-02-08"
36,8,4,160,481.96,77113.02,"2022-02-08"
37,8,8,100,56.9,5690.34,"2022-02-08"
38,8,1,248,365.58,90664.61,"2022-02-08"
39,8,10,42,57.79,2427.24,"2022-02-08"
40,8,4,174,448.55,78047.72,"2022-02-08"
41,9,10,50,54.87,2743.55,"2022-02-21"
42,10,9,225,249.74,56191.67,"2022-02-06"
43,10,1,188,404.31,76010.62,"2022-02-06"
44,10,4,114,453.32,51678.49,"2022-02-06"
45,11,4,263,438.17,115238.88,"2022-01-31"
46,11,1,199,411.7,81927.81,"2022-01-31"
47,11,4,140,441.5,61809.66,"2022-01-31"
48,12,1,185,403.54,74655.42,"2022-02-21"
49,12,4,112,423.19,47397.55,"2022-02-21"
50,12,4,209,446.24,93264.56,"2022-02-21"
51,12,11,248,395.89,98180.8,"2022-02-21"
52,12,9,284,271.04,76976.16,"2022-02-21"
53,12,4,208,438.26,91157.64,"2022-02-21"
54,12,5,153,160.35,24533.04,"2022-02-21"
55,13,3,147,413.09,60723.69,"2022-03-07"
56,13,4,270,498.7,134648.34,"2022-03-07"
57,13,1,125,431.17,53896.21,"2022-03-07"
58,13,11,115,426.76,49077.72,"2022-03-07"
59,13,5,222,158.63,35216.77,"2022-03-07"
60,13,8,193,57.6,11115.95,"2022-03-07"
61,14,10,42,55.37,2325.39,"2022-03-18"
62,14,5,129,153.73,19831.19,"2022-03-18"
63,14,5,199,136.84,27230.29,"2022-03-18"
64,14,2,136,487.76,66335.0,"2022-03-18"
65,14,8,151,57.37,8662.99,"2022-03-18"
66,14,3,71,457.58,32488.35,"2022-03-18"
67,14,4,160,482.36,77176.82,"2022-03-18"
68,15,11,207,368.92,76365.97,"2022-02-23"
69,15,5,96,138.32,13279.17,"2022-02-23"
70,15,3,71,464.97,33012.8,"2022-02-23"
71,15,10,38,51.75,1966.67,"2022-02-23"
72,16,9,138,253.11,34929.52,"2022-03-20"
73,16,4,193,437.79,84493.49,"2022-03-20"
74,16,6,21,153.13,3215.79,"2022-03-20"
75,16,5,162,147.84,23950.14,"2022-03-20"
76,17,9,238,249.09,59284.41,"2022-02-26"
77,18,2,124,515.1,63872.46,"2022-02-18"
78,18,6,37,156.42,5787.71,"2022-02-18"
79,19,8,143,49.58,7089.68,"2022-03-14"
80,19,5,174,154.62,26904.1,"2022-03-14"
81,19,9,130,256.64,33363.54,"2022-03-14"
82,19,8,184,56.62,10417.74,"2022-03-14"
83,19,7,105,146.06,15336.73,"2022-03-14"
84,19,7,131,140.07,18349.6,"2022-03-14"
85,19,6,33,160.8,5306.44,"2022-03-14"
86,20,10,24,60.42,1450.02,"2022-02-27"
87,21,8,243,59.79,14529.56,"2022-03-03"
88,21,1,130,415.43,54006.39,"2022-03-03"
89,21,7,185,127.96,23672.28,"2022-03-03"
90,21,9,103,262.12,26998.04,"2022-03-03"
91,21,9,185,258.81,47879.41,"2022-03-03"
92,21,1,151,366.74,55377.67,"2022-03-03"
93,22,1,230,385.59,88684.96,"2022-03-07"
94,23,6,23,170.36,3918.19,"2022-02-18"
95,23,3,172,462.41,79534.72,"2022-02-18"
96,23,7,124,137.24,17018.07,"2022-02-18"
97,23,5,232,143.88,33380.43,"2022-02-18"
98,24,10,20,50.78,1015.51,"2022-03-09"
99,24,1,159,375.9,59767.57,"2022-03-09"
100,24,9,181,246.58,44630.21,"2022-03-09"
101,24,12,201,809.08,162625.71,"2022-03-09"
102,24,12,200,682.33,136465.23,"2022-03-09"
103,24,7,180,151.57,27283.2,"2022-03-09"
104,25,10,50,53.4,2669.98,"2022-02-23"
105,25,10,31,54.7,1695.63,"2022-02-23"
106,25,2,59,519.06,30624.62,"2022-02-23"
107,25,8,153,57.97,8869.83,"2022-02-23"
108,25,9,120,226.21,27144.64,"2022-02-23"
109,25,7,154,151.6,23345.94,"2022-02-23"
110,25,3,111,453.5,50339.05,"2022-02-23"
111,26,9,169,232.35,39267.09,"2022-03-25"
112,26,5,137,139.33,19088.68,"2022-03-25"
113,26,9,247,226.88,56040.42,"2022-03-25"
114,26,10,23,56.58,1301.23,"2022-03-25"
115,26,7,163,135.13,22027.0,"2022-03-25"
116,27,3,146,440.05,64247.19,"2022-02-19"
117,27,12,125,770.07,96259.01,"2022-02-19"
118,27,1,158,364.03,57516.47,"2022-02-19"
119,27,8,179,51.75,9262.88,"2022-02-19"
120,27,7,215,135.83,29202.65,"2022-02-19"
121,27,1,128,433.23,55453.23,"2022-02-19"
122,28,1,128,386.31,49447.08,"2022-02-23"
123,28,5,99,139.61,13820.91,"2022-02-23"
124,28,4,199,497.91,99083.69,"2022-02-23"
125,29,2,99,555.56,55000.68,"2022-03-12"
126,29,5,141,148.8,20980.17,"2022-03-12"
127,29,6,37,174.86,6469.69,"2022-03-12"
128,29,12,210,737.85,154947.58,"2022-03-12"
129,29,8,235,50.46,11859.13,"2022-03-12"
130,29,10,39,52.1,2031.76,"2022-03-12"
131,29,5,214,164.7,35245.24,"2022-03-12"
132,30,8,155,56.01,8681.24,"2022-03-04"
133,30,4,244,482.46,117720.21,"2022-03-04"
134,30,7,176,145.74,25649.45,"2022-03-04"
135,30,3,125,476.76,59595.55,"2022-03-04"
136,30,8,88,53.33,4692.98,"2022-03-04"
137,30,7,137,132.7,18180.4,"2022-03-04"
138,31,2,67,523.19,35054.06,"2022-03-23"
139,31,3,95,486.64,46230.86,"2022-03-23"
140,31,12,170,775.02,131752.6,"2022-03-23"
141,32,8,106,53.36,5656.57,"2022-03-07"
142,32,3,188,494.36,92940.59,"2022-03-07"
143,32,10,25,55.97,1399.28,"2022-03-07"
144,32,9,214,238.3,50996.93,"2022-03-07"
145,32,2,92,505.8,46533.31,"2022-03-07"
146,32,10,39,51.73,2017.64,"2022-03-07"
147,32,7,182,150.28,27351.78,"2022-03-07"
148,32,9,133,228.59,30402.42,"2022-03-07"
149,33,5,94,163.42,15361.79,"2022-03-15"
150,33,7,241,131.61,31718.89,"2022-03-15"
151,33,1,242,362.67,87765.48,"2022-03-15"
152,33,8,93,56.66,5269.56,"2022-03-15"
