"purchase_order_id","supplier_id","order_date","expected_delivery_date","total_amount","discount_amount","final_amount","status","payment_terms","transport_method","store_id"
1,5023,"2023-01-17","2023-02-03",163299.18,13181.82,150117.36,"Shipped","Cash on Delivery","Third Party Logistics",1
2,5011,"2023-01-24","2023-02-18",172583.3,18197.22,154386.08,"Ordered","Cash on Delivery","Sea Freight",4
3,5028,"2023-01-06","2023-01-22",165780.74,8403.26,157377.47,"Delivered","Net 15","Third Party Logistics",4
4,5025,"2023-01-25","2023-02-16",65937.38,2150.13,63787.25,"Cancelled","50% Advance","Supplier Delivery",3
5,5014,"2023-01-11","2023-01-29",225673.95,25181.09,200492.86,"Delivered","Net 15","Supplier Delivery",6
6,5014,"2023-01-26","2023-02-05",15961.72,741.64,15220.08,"Shipped","50% Advance","Company Truck",6
7,5023,"2023-01-27","2023-02-10",88469.35,6144.78,82324.56,"Delivered","Cash on Delivery","Company Truck",2
8,5023,"2023-01-14","2023-01-31",120533.56,6619.54,113914.02,"Delivered","Net 15","Sea Freight",9
9,5003,"2023-01-04","2023-01-20",308100.79,17779.61,290321.18,"Ordered","Cash on Delivery","Third Party Logistics",9
10,5024,"2023-01-05","2023-02-01",141900.96,13347.78,128553.18,"Ordered","Net 30","Air Freight",5
11,5002,"2023-01-10","2023-02-01",67810.72,5147.82,62662.9,"Delivered","Net 15","Third Party Logistics",4
12,5028,"2023-01-08","2023-01-20",153441.55,20595.36,132846.19,"Delivered","Net 15","Third Party Logistics",8
13,5025,"2023-01-01","2023-01-28",142103.24,18159.93,123943.31,"Shipped","Net 15","Third Party Logistics",1
14,5002,"2023-01-28","2023-02-04",118280.87,6342.15,111938.73,"Ordered","Net 30","Air Freight",4
15,5022,"2023-01-28","2023-02-21",35108.54,1663.54,33445.0,"Ordered","Cash on Delivery","Supplier Delivery",4
16,5017,"2023-01-05","2023-02-02",234930.88,28211.87,206719.01,"Delivered","Net 45","Company Truck",2
17,5024,"2023-01-17","2023-02-06",344184.93,45379.85,298805.08,"Ordered","Cash on Delivery","Company Truck",7
18,5000,"2023-01-09","2023-01-21",364116.67,32329.79,331786.88,"Ordered","Cash on Delivery","Sea Freight",6
19,5024,"2023-01-07","2023-01-14",7794.87,380.42,7414.45,"Ordered","Net 45","Sea Freight",1
