"utility_id","utility_type","amount","month","year","payment_date","store_id","invoice_number","paid_via"
1,"Electricity",34275.0,1,2023,"2023-01-13",5,"INV-ELE-2023-01-1191","Cheque"
2,"Water",6822.0,1,2023,"2023-01-14",6,"INV-WAT-2023-01-2749","Cash"
3,"Gas",25809.1,1,2023,"2023-01-06",5,"INV-GAS-2023-01-3656","Bank Transfer"
4,"Internet",11841.0,1,2023,"2023-01-13",1,"INV-INT-2023-01-4399","Cash"
5,"Telephone",13498.0,1,2023,"2023-01-06",4,"INV-TEL-2023-01-2440","Cash"
6,"Rent",158828.0,1,2023,"2023-01-09",4,"INV-REN-2023-01-3957","Cash"
7,"Maintenance",14761.0,1,2023,"2023-01-06",3,"INV-MAI-2023-01-8459","Cheque"
8,"Security Services",56505.0,1,2023,"2023-01-12",5,"INV-SEC-2023-01-6876","Cash"
9,"Electricity",73742.0,2,2023,"2023-02-05",3,"INV-ELE-2023-02-6594","Cash"
10,"Water",5855.0,2,2023,"2023-02-05",5,"INV-WAT-2023-02-5940","Cheque"
11,"Gas",46163.65,2,2023,"2023-02-06",5,"INV-GAS-2023-02-5382","Cash"
12,"Internet",18081.0,2,2023,"2023-02-09",5,"INV-INT-2023-02-4749","Cheque"
13,"Telephone",9119.0,2,2023,"2023-02-12",4,"INV-TEL-2023-02-8658","Cheque"
14,"Rent",61450.0,2,2023,"2023-02-10",1,"INV-REN-2023-02-5713","Cheque"
15,"Maintenance",28708.0,2,2023,"2023-02-13",7,"INV-MAI-2023-02-2482","Cash"
16,"Security Services",45813.0,2,2023,"2023-02-10",9,"INV-SEC-2023-02-8455","Bank Transfer"
17,"Electricity",30644.0,3,2023,"2023-03-08",6,"INV-ELE-2023-03-6197","Cheque"
18,"Water",16104.0,3,2023,"2023-03-09",7,"INV-WAT-2023-03-4289","Bank Transfer"
19,"Gas",21195.0,3,2023,"2023-03-14",6,"INV-GAS-2023-03-3041","Bank Transfer"
20,"Internet",14320.0,3,2023,"2023-03-12",7,"INV-INT-2023-03-3003","Cheque"
21,"Telephone",5327.0,3,2023,"2023-03-15",6,"INV-TEL-2023-03-1692","Bank Transfer"
22,"Rent",227241.0,3,2023,"2023-03-05",6,"INV-REN-2023-03-9847","Cash"
23,"Maintenance",28594.0,3,2023,"2023-03-07",9,"INV-MAI-2023-03-4282","Cheque"
24,"Security Services",38149.0,3,2023,"2023-03-14",4,"INV-SEC-2023-03-4583","Cash"
25,"Electricity",56628.0,4,2023,"2023-04-11",8,"INV-ELE-2023-04-6110","Bank Transfer"
26,"Water",11033.0,4,2023,"2023-04-12",4,"INV-WAT-2023-04-2042","Cash"
27,"Gas",39857.0,4,2023,"2023-04-15",7,"INV-GAS-2023-04-7170","Cash"
28,"Internet",9724.0,4,2023,"2023-04-10",9,"INV-INT-2023-04-7091","Bank Transfer"
29,"Telephone",11360.0,4,2023,"2023-04-10",2,"INV-TEL-2023-04-9701","Cash"
30,"Rent",280086.0,4,2023,"2023-04-07",1,"INV-REN-2023-04-5609","Cash"
31,"Maintenance",37513.0,4,2023,"2023-04-12",5,"INV-MAI-2023-04-7046","Bank Transfer"
32,"Security Services",46610.0,4,2023,"2023-04-12",6,"INV-SEC-2023-04-5758","Cash"
33,"Electricity",58271.0,5,2023,"2023-05-14",1,"INV-ELE-2023-05-4204","Cheque"
34,"Water",15721.0,5,2023,"2023-05-15",8,"INV-WAT-2023-05-5473","Cash"
35,"Gas",28644.0,5,2023,"2023-05-05",5,"INV-GAS-2023-05-7972","Bank Transfer"
36,"Internet",23242.0,5,2023,"2023-05-14",9,"INV-INT-2023-05-3440","Cheque"
37,"Telephone",14811.0,5,2023,"2023-05-13",6,"INV-TEL-2023-05-3610","Cash"
38,"Rent",234941.0,5,2023,"2023-05-08",4,"INV-REN-2023-05-2500","Cheque"
39,"Maintenance",20470.0,5,2023,"2023-05-09",2,"INV-MAI-2023-05-9461","Cash"
40,"Security Services",65924.0,5,2023,"2023-05-06",5,"INV-SEC-2023-05-8689","Bank Transfer"
41,"Electricity",32050.86,6,2023,"2023-06-12",9,"INV-ELE-2023-06-7340","Cash"
42,"Water",18250.0,6,2023,"2023-06-05",3,"INV-WAT-2023-06-3962","Cash"
43,"Gas",28843.0,6,2023,"2023-06-09",2,"INV-GAS-2023-06-2413","Cash"
44,"Internet",23700.0,6,2023,"2023-06-08",4,"INV-INT-2023-06-7852","Bank Transfer"
45,"Telephone",5578.0,6,2023,"2023-06-08",9,"INV-TEL-2023-06-2790","Cash"
46,"Rent",64656.0,6,2023,"2023-06-08",2,"INV-REN-2023-06-7503","Bank Transfer"
47,"Maintenance",31602.0,6,2023,"2023-06-11",8,"INV-MAI-2023-06-7881","Cash"
48,"Security Services",58475.0,6,2023,"2023-06-10",6,"INV-SEC-2023-06-1099","Cash"
49,"Electricity",93715.57,7,2023,"2023-07-15",8,"INV-ELE-2023-07-1815","Bank Transfer"
50,"Water",9852.0,7,2023,"2023-07-09",6,"INV-WAT-2023-07-2760","Cash"
51,"Gas",37372.0,7,2023,"2023-07-05",6,"INV-GAS-2023-07-2487","Cheque"
52,"Internet",14024.0,7,2023,"2023-07-06",1,"INV-INT-2023-07-3280","Cheque"
53,"Telephone",11272.0,7,2023,"2023-07-15",6,"INV-TEL-2023-07-4269","Cheque"
54,"Rent",147046.0,7,2023,"2023-07-06",1,"INV-REN-2023-07-3620","Cheque"
55,"Maintenance",43728.0,7,2023,"2023-07-13",4,"INV-MAI-2023-07-5297","Bank Transfer"
56,"Security Services",52365.0,7,2023,"2023-07-07",7,"INV-SEC-2023-07-9225","Cash"
57,"Electricity",85865.29,8,2023,"2023-08-11",5,"INV-ELE-2023-08-5849","Bank Transfer"
58,"Water",9707.0,8,2023,"2023-08-14",3,"INV-WAT-2023-08-7097","Cash"
59,"Gas",13834.0,8,2023,"2023-08-09",1,"INV-GAS-2023-08-3665","Cheque"
60,"Internet",24598.0,8,2023,"2023-08-12",6,"INV-INT-2023-08-2948","Cheque"
61,"Telephone",6813.0,8,2023,"2023-08-06",7,"INV-TEL-2023-08-5215","Cash"
62,"Rent",251416.0,8,2023,"2023-08-09",3,"INV-REN-2023-08-6059","Bank Transfer"
63,"Maintenance",34796.0,8,2023,"2023-08-10",5,"INV-MAI-2023-08-5637","Bank Transfer"
64,"Security Services",73846.0,8,2023,"2023-08-13",8,"INV-SEC-2023-08-5526","Cash"
65,"Electricity",17223.0,9,2023,"2023-09-11",1,"INV-ELE-2023-09-3870","Bank Transfer"
66,"Water",6108.0,9,2023,"2023-09-13",6,"INV-WAT-2023-09-5763","Cheque"
67,"Gas",17469.0,9,2023,"2023-09-10",8,"INV-GAS-2023-09-6776","Cheque"
68,"Internet",13021.0,9,2023,"2023-09-12",9,"INV-INT-2023-09-1444","Cash"
69,"Telephone",11310.0,9,2023,"2023-09-13",4,"INV-TEL-2023-09-4595","Cheque"
70,"Rent",266249.0,9,2023,"2023-09-10",5,"INV-REN-2023-09-1353","Cash"
71,"Maintenance",25349.0,9,2023,"2023-09-06",5,"INV-MAI-2023-09-6496","Bank Transfer"
72,"Security Services",71768.0,9,2023,"2023-09-15",3,"INV-SEC-2023-09-8110","Cheque"
73,"Electricity",71034.0,10,2023,"2023-10-10",3,"INV-ELE-2023-10-3408","Cheque"
74,"Water",16776.0,10,2023,"2023-10-13",2,"INV-WAT-2023-10-5447","Bank Transfer"
75,"Gas",21718.0,10,2023,"2023-10-11",1,"INV-GAS-2023-10-3644","Bank Transfer"
76,"Internet",9091.0,10,2023,"2023-10-05",4,"INV-INT-2023-10-8617","Bank Transfer"
77,"Telephone",13975.0,10,2023,"2023-10-13",5,"INV-TEL-2023-10-2683","Cheque"
78,"Rent",269189.0,10,2023,"2023-10-14",8,"INV-REN-2023-10-5913","Bank Transfer"
79,"Maintenance",37550.0,10,2023,"2023-10-15",8,"INV-MAI-2023-10-6081","Bank Transfer"
80,"Security Services",32868.0,10,2023,"2023-10-09",4,"INV-SEC-2023-10-5289","Bank Transfer"
81,"Electricity",56978.0,11,2023,"2023-11-11",6,"INV-ELE-2023-11-3228","Cash"
82,"Water",11203.0,11,2023,"2023-11-05",6,"INV-WAT-2023-11-4739","Bank Transfer"
83,"Gas",27408.0,11,2023,"2023-11-14",1,"INV-GAS-2023-11-8525","Cheque"
84,"Internet",13521.0,11,2023,"2023-11-07",6,"INV-INT-2023-11-1274","Cash"
85,"Telephone",7394.0,11,2023,"2023-11-09",8,"INV-TEL-2023-11-1695","Cheque"
86,"Rent",250209.0,11,2023,"2023-11-13",2,"INV-REN-2023-11-6692","Cheque"
87,"Maintenance",13109.0,11,2023,"2023-11-08",2,"INV-MAI-2023-11-1096","Bank Transfer"
88,"Security Services",24604.0,11,2023,"2023-11-13",8,"INV-SEC-2023-11-7652","Cash"
89,"Electricity",79010.0,12,2023,"2023-12-11",6,"INV-ELE-2023-12-3627","Cheque"
90,"Water",12418.0,12,2023,"2023-12-13",7,"INV-WAT-2023-12-1635","Bank Transfer"
91,"Gas",26003.54,12,2023,"2023-12-05",7,"INV-GAS-2023-12-1259","Cash"
92,"Internet",23399.0,12,2023,"2023-12-05",9,"INV-INT-2023-12-5929","Bank Transfer"
93,"Telephone",7696.0,12,2023,"2023-12-15",1,"INV-TEL-2023-12-4498","Cheque"
94,"Rent",241596.0,12,2023,"2023-12-09",2,"INV-REN-2023-12-9233","Bank Transfer"
95,"Maintenance",37486.0,12,2023,"2023-12-06",7,"INV-MAI-2023-12-3324","Bank Transfer"
96,"Security Services",54736.0,12,2023,"2023-12-11",1,"INV-SEC-2023-12-2530","Bank Transfer"
