"promotion_id","product_id","promotion_name","discount_type","discount_value","start_date","end_date","month","year"
1,41,"Special Offer on Brite Antibacterial Detergent Powder 1kg","percentage",15,"2022-05-14","2022-05-27",5,2022
2,11,"Special Offer on Kisan Ghee 1kg","percentage",25,"2022-05-16","2022-05-27",5,2022
3,48,"Special Offer on Panasonic Steam Iron NI-JW650T","fixed",150,"2022-05-23","2022-05-28",5,2022
4,100,"Special Offer on Cucumber (Desi) 500g","fixed",100,"2022-05-23","2022-05-28",5,2022
5,62,"Special Offer on Salman's Chocolate Syrup 623g","fixed",50,"2022-05-14","2022-05-19",5,2022
6,77,"Special Offer on Ponam Moong Whole 500g","percentage",20,"2022-05-05","2022-05-14",5,2022
7,154,"Special Offer on Air Freshener (Generic) 300ml","fixed",200,"2022-05-17","2022-05-24",5,2022
8,136,"Special Offer on Dawn Hot Dog Bun 60g","percentage",15,"2022-05-06","2022-05-20",5,2022
9,140,"Special Offer on Dawn Bread Brown","fixed",100,"2022-05-05","2022-05-17",5,2022
10,32,"Special Offer on Ponds Moisturizing Lotion Vitamin E 100ml","fixed",50,"2022-05-21","2022-05-29",5,2022
11,81,"Special Offer on Ponam Maida 1kg","fixed",100,"2022-05-23","2022-05-26",5,2022
12,34,"Special Offer on Lifebuoy Shampoo Herbal 175ml","percentage",15,"2022-05-07","2022-05-12",5,2022
13,91,"Special Offer on Chashnik Granulated Brown Sugar 500g","fixed",50,"2022-05-15","2022-05-23",5,2022
14,130,"Special Offer on Whiskas Cat Food Pouch 85g","percentage",25,"2022-05-16","2022-05-19",5,2022
15,117,"Special Offer on Any Time Juice 1L","percentage",10,"2022-05-16","2022-05-22",5,2022
16,92,"Special Offer on Sugarie Powdered Brown Sugar 1kg","fixed",200,"2022-05-10","2022-05-14",5,2022
